accueillir	/a.kœ.jiʁ/	to welcome	[sound:home-001.mp3]	<img src="phome-001.gif" style="width: 400px;">	https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::verb
aider	/ɛ.de/	to help	[sound:home-002.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::devoirs french::pos::verb
animé	/a.ni.me/	lively	[sound:home-003.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::adjective
artisanal	/aʀ.ti.za.nal/	hand-made	[sound:home-004.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::adjective
attirer	/a.ti.ʁe/	to attract	[sound:home-005.mp3]	<img src="phome-005.png" style="width: 400px;">	https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::verb
avoir besoin de	/a.vwaʁ bə.zwɛ̃ də/	to need	[sound:home-006.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::verb
besoin	/bə.zwɛ̃/	need	[sound:home-007.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
bon marché	/bɔ̃ maʀʃe/	cheap	[sound:home-008.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::adjective
bruyant	/bʁɥi.jɑ̃/	noisy	[sound:home-009.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::adjective
calme	/kalm/	quiet	[sound:home-010.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::adjective
célèbre	/se.lɛbʁ/	famous	[sound:home-011.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::adjective
cher/ chère	/ʃɛʁ/	expensive	[sound:home-012.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::adjective
de taille-moyenne	/də taj mwa.jɛn/	medium-sized	[sound:home-013.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::adjective
dehors	/də.ɔʁ/	outside	[sound:home-014.mp3]	<img src="phome-014.jpeg" style="width: 400px;">	https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
déménager	/de.me.na.ʒe/	to move house	[sound:home-015.mp3]	<img src="phome-015.jpg" style="width: 400px;">	https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::verb
démodé	/de.mɔ.de/	old-fashioned	[sound:home-016.mp3]	<img src="phome-016.jpeg" style="width: 400px;">	https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::adjective
dépenser	/de.pɑ̃.se/	to spend	[sound:home-017.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::verb
devoir	/də.vwaʁ/	to have to	[sound:home-018.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::verb
économiser	/e.kɔ.nɔ.mi.ze/	to save money	[sound:home-019.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::verb
essayer	/e.sɛ.je/	to try (on)	[sound:home-020.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::verb
faire du lèche-vitrine	/fɛʁ dy lɛʃ.vi.tʁin/	window shopping	[sound:home-021.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::verb
faire le ménage	/fɛʁ ləme.naʒ/	to do the cleaning	[sound:home-022.mp3]	<img src="phome-022.jpeg" style="width: 400px;">	https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::verb
fermé	/fɛʁ.me/	closed	[sound:home-023.mp3]	<img src="phome-023.jpeg" style="width: 400px;">	https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::adjective
garder	/ɡaʁ.de/	to look after	[sound:home-024.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::verb
gratuit	/ɡʁa.tɥi/	free	[sound:home-025.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::adjective
il fait beau	/il fɛ bo/	it is nice weather	[sound:home-026.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::weather french::pos::verb
il fait chaud	/il fɛ ʃo/	it is hot	[sound:home-027.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::weather french::pos::verb
il pleut	/il plø/	it is raining	[sound:home-028.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::weather french::pos::verb
un arbre	/aʁbʁ/	tree	[sound:home-029.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
une armoire	/aʁ.mwaʁ/	wardrobe	[sound:home-030.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
une écharpe	/e.ʃaʁp/	scarf	[sound:home-031.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
un embouteillage	/ɑ̃.bu.tɛ.jaʒ/	traffic jam	[sound:home-032.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
un endroit	/ɑ̃.dʁwa/	place	[sound:home-033.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
un escalier	/ɛs.ka.lje/	staircase	[sound:home-034.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
un étage	/e.taʒ/	floor	[sound:home-035.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
un habitant	/a.bi.tɑ̃/	inhabitant	[sound:home-036.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
un hôtel de ville		town hall	[sound:home-037.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
un immeuble	/i.mœbl/	block of flats	[sound:home-038.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
une usine	/y.zin/	factory	[sound:home-039.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
la bibliothèque	/bi.bli.jɔ.tɛk/	library	[sound:home-040.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
la bijouterie	/bi.ʒu.tʁi/	jellewer's shop	[sound:home-041.mp3]	<img src="phome-041.jpeg" style="width: 400px;">	https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
la boucherie	/buʃ.ʁi/	butcher's shop	[sound:home-042.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
la boulangerie	/bu.lɑ̃ʒ.ʁi/	bakery	[sound:home-043.mp3]	<img src="phome-043.jpeg" style="width: 400px;">	https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
la caisse	/kɛs/	till	[sound:home-044.mp3]	<img src="phome-044.jpeg" style="width: 400px;">	https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
une carte bancaire	/kaʁt bɑ̃kɛʀ/	bank card	[sound:home-045.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
la cave	/kav/	cellar	[sound:home-046.mp3]	<img src="phome-046.jpeg" style="width: 400px;">	https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
la ceinture	/sɛ̃.tyʁ/	belt	[sound:home-047.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
la chambre	/ʃɑ̃bʁ/	bedroom	[sound:home-048.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
la charcuterie	/ʃaʁ.ky.tʁi/	delicatessen	[sound:home-049.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
la chaussette	/ʃo.sɛt/	socks	[sound:home-050.mp3]	<img src="phome-050.jpeg" style="width: 400px;">	https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
la chaussure	/ʃo.syʁ/	shoe	[sound:home-051.mp3]	<img src="phome-051.jpeg" style="width: 400px;">	https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
la chemise	/ʃə.miz/	shirt	[sound:home-052.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
la chose	/ʃoz/	thing	[sound:home-053.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
la circulation	/siʁ.ky.la.sjɔ̃/	traffic	[sound:home-054.mp3]	<img src="phome-054.jpeg" style="width: 400px;">	https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
la colline	/kɔ.lin/	hill	[sound:home-055.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
la cravate	/kʁa.vat/	tie	[sound:home-056.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
la cuisine	/kɥi.zin/	kitchen	[sound:home-057.mp3]	<img src="phome-057.jpeg" style="width: 400px;">	https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
la fenêtre	/fə.nɛtʁ/	window	[sound:home-058.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
la ferme	/fɛʁm/	farm	[sound:home-059.mp3]	<img src="phome-059.jpeg" style="width: 400px;">	https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
la fermeture	/fɛʀ.mə.tyʀ/	closure	[sound:home-060.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
la fleur	/flœʁ/	flower	[sound:home-061.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
la grande surface	/ɡʁɑ̃d syʁ.fas/	superstore	[sound:home-062.mp3]	<img src="phome-062.jpeg" style="width: 400px;">	https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
la jupe	/ʒyp/	skirt	[sound:home-063.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
la librairie	/li.bʁɛ.ʁi/	bookshop	[sound:home-064.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
la lumière	/ly.mjɛʁ/	light	[sound:home-065.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
la mairie	/mɛ.ʁi/	town hall	[sound:home-066.mp3]	<img src="phome-066.jpeg" style="width: 400px;">	https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
la maison	/mɛ.zɔ̃/	house	[sound:home-067.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
une maison individuelle	/mɛ.zɔ̃ ɛ̃.di.vi.dɥɛl/	detached house	[sound:home-068.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
une maison jumelée	/mɛ.zɔ̃ ʒy.məle/	semi-detached house	[sound:home-069.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
une maison mitoyenne	/mɛ.zɔ̃ mi.twa.jɛ̃n/	terraced house	[sound:home-070.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
la marque	/maʁk/	brand	[sound:home-071.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
la mode	/mɔd/	fashion	[sound:home-072.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
la pâtisserie	/pɑ.ti.sʁi/	cake shop	[sound:home-073.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
la pelouse	/pə.luz/	lawn	[sound:home-074.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
une pièce	/pjɛs/	room	[sound:home-075.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
la place	/plas/	square	[sound:home-076.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
la poste	/pɔst/	post office	[sound:home-077.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
une robe	/ʁɔb/	dress	[sound:home-078.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
la salle à manger	/sa.l‿a mɑ̃.ʒe/	dining room	[sound:home-079.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
la salle de bains	/sal də bɛ̃/	bathroom	[sound:home-080.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
la sécurité	/se.ky.ʁi.te/	safety	[sound:home-081.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
une tâche	/tɑʃ/	task	[sound:home-082.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
une veste	/vɛst/	jacket	[sound:home-083.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
la vie	/vie/	life	[sound:home-084.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
la ville	/vil/	town	[sound:home-085.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
la ville jumelée	/vil ʒy.məle/	twin city	[sound:home-086.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
une vitrine	/vi.tʁin/	shop window	[sound:home-087.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
la zone piétonne	/zon pje.tɔ̃n/	pedestrian zone	[sound:home-088.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
laver	/la.ve/	to wash	[sound:home-089.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::verb
un bâtiment	/bɑ.ti.mɑ̃/	building	[sound:home-090.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
un bijou	/bi.ʒu/	jewel	[sound:home-091.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
un blouson	/blu.zɔ̃/	jacket	[sound:home-092.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
le bricolage	/bʀi.kɔ.laʒ/	DIY	[sound:home-093.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
le bruit	/ˈbrui/	noise	[sound:home-094.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
le bureau	/by.ʁo/	office	[sound:home-095.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
un centre commercial	/sɑ̃.tʁə kɔ.mɛʁ.sjal/	shopping centre	[sound:home-096.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
un champ	/ʃɑ̃/	field	[sound:home-097.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
un chapeau	/ʃa.po/	hat	[sound:home-098.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
le château	/ʃa.to/	castle	[sound:home-099.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
le choix	/ʃwa/	choice	[sound:home-100.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
le commissariat	/kɔ.mi.sa.ʁja/	police station	[sound:home-101.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
le four	/fuʁ/	oven	[sound:home-102.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
un foyer	/fwa.je/	household	[sound:home-103.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
un gilet	/ʒi.lɛ/	cardigan/ waistcoat	[sound:home-104.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
le grenier	/ɡʁə.nje/	attic	[sound:home-105.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
le jardin	/ʒaʁ.dɛ̃/	garden	[sound:home-106.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
le jardinage	/ʒaʁ.di.naʒ/	gardening	[sound:home-107.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
le loyer	/lwa.je/	rent	[sound:home-108.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
un magasin	/ma.ɡa.zɛ̃/	shop	[sound:home-109.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
un manteau	/mɑ̃.to/	coat	[sound:home-110.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
le marché	/maʁ.ʃe/	market	[sound:home-111.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
un musée	/my.ze/	museum	[sound:home-112.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
un pantalon	/pɑ̃.ta.lɔ̃/	trousers	[sound:home-113.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
un parc	/paʁk/	park	[sound:home-114.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
le parfum	/paʁ.fœ̃/	perfume	[sound:home-115.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
un porte-monnaie	/pɔʁt mɔ.nɛ/	purse	[sound:home-116.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
un portefeuille	/pɔʁ.tə.fœj/	wallet	[sound:home-117.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
le prix	/pʁi/	price	[sound:home-118.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
un pull	/pyl/	jumper	[sound:home-119.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
un pull à capuche	/py.l‿a ka.pyʃ/	hoodie	[sound:home-120.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
le quartier	/kaʁ.tje/	area	[sound:home-121.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
un rayon	/ʁɛ.jɔ̃/	department	[sound:home-122.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
le rez-de-chaussée	/ʁe.d(ə).ʃo.se/	ground floor	[sound:home-123.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
le risque	/ʁisk/	risk	[sound:home-124.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
le salon	/sa.lɔ̃/	living room	[sound:home-125.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
le sous-sol	/su.sɔl/	basement	[sound:home-126.mp3]	<img src="phome-126.jpeg" style="width: 400px;">	https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
le transport en commun	/tʁɑ̃s.pɔʁ ɑ̃ kɔ.mœ̃/	public transport	[sound:home-128.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
le vendeur/ la vendeuse	/vɑ̃.dœʁ/ /vɑ̃.døz/	shop assistant	[sound:home-129.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
un voisin	/vwa.zɛ̃/	neighbour	[sound:home-130.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
les baskets (f)	/bas.kɛt/	trainers	[sound:home-131.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
les commerces (m)	/kɔ.mɛʀs/	shops	[sound:home-132.mp3]	<img src="phome-132.jpeg" style="width: 400px;">	https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
les distractions (f)	/dis.tʁak.sjɔ̃/	things to do	[sound:home-133.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
les étudiants	/e.ty.djɑ̃s/	students	[sound:home-134.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
les gens (m)	/ʒɑ̃/	people	[sound:home-135.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
un meuble	/mœbl/	a piece of furniture	[sound:home-136.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
les soldes (m)	/sɔld/	the sale	[sound:home-137.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
une toilette	/twa.lɛt/	toilet	[sound:home-138.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
un vêtement	/vɛt.mɑ̃/	clothing	[sound:home-139.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::noun
livrer	/li.vʁe/	to deliver	[sound:home-140.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::verb
loin de	/lwɛ̃ d(ə)/	far from	[sound:home-141.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::adverb
mettre la table	/mɛ.tʁə la tabl/	to lay the table	[sound:home-142.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::verb french::devoirs
nettoyer	/nɛ.twa.je/	to clean	[sound:home-143.mp3]	<img src="phome-143.jpeg" style="width: 400px;">	https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::verb french::devoirs
ouvert	/u.vɛʁ/	open	[sound:home-144.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::adjective
passer l'aspirateur	/pa.se l‿as.pi.ʁa.tœʁ/	to vacuum	[sound:home-145.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::verb french::devoirs
pauvre	/povʁ/	poor	[sound:home-146.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::adjective
perdre	/pɛʁdʁ/	to lose	[sound:home-147.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::verb
poser	/po.ze/	to put down	[sound:home-148.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::verb
pouvoir	/pu.vwaʁ/	to be able to	[sound:home-149.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::verb
pratique	/pʁa.tik/	practical	[sound:home-150.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::adjective
près de	/pʁɛ də/	close to	[sound:home-151.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::adverb
propre	/pʁɔpʁ/	clean	[sound:home-152.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::adjective
quitter	/ki.te/	to leave	[sound:home-153.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::verb
ranger	/ʁɑ̃.ʒe/	to tidy	[sound:home-154.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::devoirs french::pos::verb
réduire	/ʁe.dɥiʁ/	to reduce	[sound:home-155.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::verb
rembourser	/ʁɑ̃.buʁ.se/	reimburse	[sound:home-156.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::verb
routier	/ʀu.tje/	road (or adj.driving, station routière=bus station)	[sound:home-157.mp3]	<img src="phome-157.jpeg" style="width: 400px;">	https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::verb french::pos::adjective
sale	/sal/	dirty	[sound:home-158.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::adjective
se trouver	/tʁu.ve/	to be situated	[sound:home-159.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::verb
surchargé	/syʀ.ʃaʀ.ʒe/	overcrowded	[sound:home-160.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::adjective
surtout	/syʁ.tu/	especially	[sound:home-161.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::adverb
tard	/taʁ/	late	[sound:home-162.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::adverb french::time
tôt	/to/	early	[sound:home-163.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::adverb french::time
travailler	/tʁa.va.je/	to work	[sound:home-164.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::verb
trop de	/tʁo də/	too many	[sound:home-165.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::adverb
vendre	/vɑ̃dʁ/	to sell	[sound:home-166.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::verb
vivre	/vivʁ/	to live	[sound:home-167.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::verb
voir	/vwaʁ/	to see	[sound:home-168.mp3]		https://app.memrise.com/course/5534175/french-gcse-aqa-vocabulary/	french::home french::pos::verb
